TICKER,PRECO,DY,P/L,P/VP,P/ATIVOS,MARGEM BRUTA,MARGEM EBIT,MARG. LIQUIDA,P/EBIT,EV/EBIT,DIVIDA LIQUIDA / EBIT,DIV. LIQ. / PATRI.,PSR,P/CAP. GIRO,P. AT CIR. LIQ.,LIQ. CORRENTE,ROE,ROA,ROIC,PATRIMONIO / ATIVOS,PASSIVOS / ATIVOS,GIRO ATIVOS,CAGR RECEITAS 5 ANOS,CAGR LUCROS 5 ANOS,LIQUIDEZ MEDIA DIARIA,VPA,LPA,PEG Ratio,VALOR DE MERCADO
ECPR4,90.74,0.0,-9.92,1.22,0.62,0.0,0.0,0.0,-17.21,-17.09,0.08,-0.01,0.0,175.57,-0.63,2.97,-12.28,-6.29,-7.36,0.51,0.49,0.0,0.0,0.0,0.0,74.46,-9.14,0.14,171908947.31
EEEL4,410.0,33.87,4.36,2.24,0.84,61.09,81.88,64.47,3.43,3.14,0.65,0.42,2.81,7.58,-1.1,1.84,51.31,19.18,31.79,0.37,0.63,0.3,6.73,18.11,100734.67,183.24,94.03,0.0,2864486063.75
EKTR4,38.0,20.47,7.47,2.57,0.74,26.12,21.32,11.75,4.12,6.52,2.5,1.56,0.88,14.16,-1.03,1.23,34.42,9.93,17.65,0.29,0.71,0.85,7.62,21.37,17753.92,14.79,5.09,0.37,7179090126.0
ELEK4,36.99,0.0,47.34,5.15,2.07,11.39,2.82,2.53,42.48,38.76,5.75,0.7,1.2,7.26,-5.02,1.94,10.87,4.36,4.38,0.4,0.6,1.72,1.48,0.0,0.0,7.19,0.78,-0.68,905051916.3
EMAE4,42.5,2.07,23.09,1.69,0.83,8.64,-5.67,12.77,-51.95,-30.7,12.9,-0.42,2.95,3.1,-1.24,5.49,7.34,3.6,-4.36,0.49,0.51,0.28,20.52,-10.61,194422.11,25.09,1.84,-0.42,1318053974.5
ENGI4,6.17,6.35,5.89,1.01,0.21,27.13,21.59,8.06,2.2,6.51,3.93,1.8,0.47,8.39,-0.28,1.11,17.11,3.58,12.31,0.21,0.79,0.44,14.21,30.76,207829.68,6.12,1.05,-0.24,14787455588.08
ENMT4,78.5,5.48,14.43,5.55,1.46,31.44,26.34,16.7,9.15,11.21,2.24,1.36,2.41,58.81,-1.96,1.11,38.42,10.08,20.73,0.26,0.74,0.6,13.11,201.59,27999.0,14.16,5.44,2.85,16844792335.28
ESTR4,39.99,0.0,-0.85,-0.07,0.11,43.51,15.58,-23.04,1.26,4.92,3.89,0.0,0.2,-0.06,-0.26,0.26,-7.76,-12.43,-5.39,-1.6,2.6,0.54,4.9,0.0,5332.83,-605.44,-47.01,-0.01,26346821.0
EUCA4,9.5,8.32,2.41,0.43,0.24,32.65,15.64,14.16,2.18,3.38,1.22,0.24,0.34,1.49,-0.38,1.75,17.72,9.92,13.58,0.56,0.44,0.7,16.44,61.2,453025.41,22.27,3.95,0.17,871755930.0
FBMC4,1.96,0.0,-0.09,-0.02,0.03,-60.76,-92.67,-101.97,-0.1,-0.74,-0.67,0.0,0.09,-0.04,-0.05,0.31,-24.19,-36.57,25.82,-1.51,2.51,0.36,-18.14,0.0,0.0,-87.48,-21.16,0.0,904253.84
FESA4,48.5,11.09,4.03,1.41,1.05,46.29,36.99,33.84,3.69,3.47,-0.46,-0.17,1.36,3.6,-1.81,3.35,34.93,26.12,28.98,0.75,0.25,0.77,23.14,31.53,12084742.32,34.43,12.03,0.06,4563200000.0
GEPA4,24.6,9.75,9.55,1.24,0.63,40.92,35.05,17.76,4.84,6.3,1.58,0.41,1.7,-3.97,-0.71,0.42,13.0,6.54,13.94,0.5,0.5,0.37,-1.18,-0.05,22035.58,19.82,2.58,0.0,2264510126.34
GETT4,2.4,2.05,7.55,1.24,0.08,41.43,18.41,17.71,7.26,0.0,0.99,0.17,1.34,3.13,-1.96,1.03,16.41,1.07,10.57,0.07,0.93,0.06,0.0,0.0,87049.26,1.94,0.32,0.07,0.0
GGBR4,24.31,14.93,3.74,0.92,0.58,22.75,21.54,13.86,2.41,2.7,0.4,0.15,0.52,2.4,-1.0,2.32,24.68,15.48,22.7,0.63,0.37,1.12,17.42,0.0,315636666.86,26.35,6.5,-0.14,40816636428.78
GOAU4,11.38,10.98,3.14,0.25,0.16,22.75,21.46,4.54,0.67,1.0,0.35,0.13,0.14,0.63,-0.28,2.39,7.92,5.01,22.17,0.63,0.37,1.1,17.42,0.0,94313032.68,45.74,3.62,-0.11,11502228284.8
GOLL4,5.99,0.0,-12.28,-0.9,1.13,20.72,3.67,-10.27,34.41,24.99,20.48,0.0,1.26,-1.76,-1.37,0.22,-7.31,-9.2,-5.48,-1.26,2.26,0.9,8.03,0.0,114649013.86,-6.67,-0.49,0.16,2507731931.23
HAGA4,0.99,0.0,3.29,-0.19,0.2,19.89,11.89,12.53,3.47,1.4,-2.91,0.0,0.41,0.57,-1.19,1.74,-5.67,6.07,-6.27,-1.07,2.07,0.48,9.48,1.81,20556.92,-5.3,0.3,-0.05,14637000.24
HETA4,4.04,0.0,-1.72,0.0,0.18,100.0,92.5,-38.58,0.72,119.22,113.02,0.0,0.66,-0.02,-0.21,0.02,-0.22,-10.66,-1.24,-49.56,50.56,0.28,-0.71,0.0,10109.86,-1092.26,-2.35,0.02,17803764.04
